institute,lesson_type,date,teacher_load,total_classes,teacher_name,group_name,discipline
ИИС,Лабораторная,2025-11-03,2.5,5,Сидорова А.А.,ИМ-32,Статистика
ИЗО,Лабораторная,2025-11-03,2.8,9,Морозов Д.Д.,ИГУиП-32,Дискретная математика
ИЗО,Лабораторная,2025-11-03,3.9,19,Новикова М.М.,ИГУиП-41,Алгоритмы
ИМ,Семинар,2025-11-03,2.4,19,Морозов Д.Д.,ИГУиП-22,Компьютерные сети
ИГУиП,Лабораторная,2025-11-03,1.7,10,Волков А.А.,ИИС-31,Бухгалтерский учет
ИУПСиБК,Лабораторная,2025-11-03,2.8,15,Козлова Е.Е.,ИЭФ-42,Иностранный язык
ИЗО,Лекция,2025-11-03,4.3,19,Павлова О.О.,ИГУиП-31,Экономика
ИЭФ,Лекция,2025-11-03,3.6,13,Соколов В.В.,ИИС-21,Иностранный язык
ИОМ,Лекция,2025-11-03,2.9,6,Сидорова А.А.,ИЗО-23,Базы данных
ИЭФ,Лекция,2025-11-03,1.5,9,Соколов В.В.,ИОМ-23,Операционные системы
ИМ,Семинар,2025-11-03,2.4,16,Павлова О.О.,ИОМ-21,Право
ИМ,Семинар,2025-11-03,2.1,10,Павлова О.О.,ИУПСиБК-43,Иностранный язык
ИЗО,Лекция,2025-11-03,2.4,19,Новикова М.М.,ИМ-31,Информационные системы
ИИС,Лабораторная,2025-11-03,3.7,7,Сидорова А.А.,ИОМ-32,Дискретная математика
ИИС,Лабораторная,2025-11-03,1.6,11,Иванов И.И.,ИМ-32,Иностранный язык
ИЗО,Лабораторная,2025-11-03,2.6,18,Морозов Д.Д.,ИМ-23,Менеджмент
ИЗО,Семинар,2025-11-03,4.3,17,Петров П.П.,ИМ-23,Компьютерные сети
