institute,lesson_type,date,teacher_load,total_classes,teacher_name,group_name,discipline
ИОМ,Семинар,2025-11-03,2.2,16,Сидорова А.А.,ИГУиП-31,Дискретная математика
ИЭФ,Семинар,2025-11-03,2.5,12,Федоров И.И.,ИУПСиБК-22,Дискретная математика
ИМ,Лекция,2025-11-03,3.3,15,Павлова О.О.,ИУПСиБК-33,Базы данных
ИОМ,Семинар,2025-11-03,2.4,17,Новикова М.М.,ИЗО-22,Операционные системы
ИИС,Семинар,2025-11-03,2.2,12,Козлова Е.Е.,ИОМ-42,Алгоритмы
ИМ,Семинар,2025-11-03,2.3,19,Соколов В.В.,ИМ-43,Финансы
ИГУиП,Семинар,2025-11-03,4.5,14,Павлова О.О.,ИМ-13,Компьютерные сети
ИМ,Лекция,2025-11-03,2.4,17,Федоров И.И.,ИГУиП-13,Информационные системы
ИОМ,Лекция,2025-11-03,3.7,6,Козлова Е.Е.,ИЭФ-22,Философия
ИОМ,Семинар,2025-11-03,3.7,19,Павлова О.О.,ИОМ-21,Философия
ИОМ,Лекция,2025-11-03,4.2,14,Новикова М.М.,ИГУиП-22,Бухгалтерский учет
ИОМ,Лабораторная,2025-11-03,1.6,5,Козлова Е.Е.,ИЭФ-42,Бухгалтерский учет
ИИС,Лабораторная,2025-11-03,1.7,6,Сидорова А.А.,ИЭФ-11,Философия
ИМ,Лекция,2025-11-03,1.7,11,Морозов Д.Д.,ИЭФ-43,Философия
ИЭФ,Лабораторная,2025-11-03,2.7,16,Иванов И.И.,ИУПСиБК-21,Информационные системы
ИЗО,Лекция,2025-11-03,3.6,14,Козлова Е.Е.,ИМ-12,Бухгалтерский учет
